type;operations_id;contract_id;car_id;date;amount;descriptions
debit;CD135;;CAR_07;09.05.2025;-4840.0;
fact;CF148;;CAR_07;07.05.2025;9680.0;
payment;CP276;;CAR_07;07.05.2025;4840.0;
debit;CD136;;CAR_08;07.05.2025;-5280.0;
fact;CF149;;CAR_08;09.05.2025;10560.0;
payment;CP277;;CAR_08;09.05.2025;5280.0;
payment;CP278;;CAR_09;09.05.2025;33440.0;
debit;CD137;;CAR_07;08.06.2025;-14520.0;
fact;CF151;;CAR_07;08.06.2025;19360.0;
payment;CP283;;CAR_07;08.06.2025;4840.0;
debit;CD138;;CAR_08;08.06.2025;-2200.0;
fact;CF152;;CAR_08;08.06.2025;7480.0;
payment;CP284;;CAR_08;08.06.2025;5280.0;
fact;CF157;;CAR_01;07.07.2025;21560.0;
payment;CP291;;CAR_01;06.07.2025;21560.0;
fact;CF158;;CAR_08;07.07.2025;5280.0;
payment;CP292;;CAR_08;07.07.2025;5280.0;
debit;CD146;;CAR_08;09.08.2025;-2420.0;
fact;CF162;;CAR_08;09.08.2025;7700.0;
payment;CP298;;CAR_08;09.08.2025;5280.0;
debit;CD147;;CAR_06;09.08.2025;33880.0;
payment;CP299;;CAR_06;09.08.2025;33880.0;
fact;CF163;;CAR_09;07.08.2025;33880.0;
debit;CD150;;CAR_08;08.09.2025;-7700.0;
fact;CF167;;CAR_08;08.09.2025;12980.0;
payment;CP305;;CAR_08;08.09.2025;5280.0;
debit;CD154;;CAR_08;07.10.2025;-5280.0;
fact;CF171;;CAR_08;07.10.2025;10560.0;
payment;CP310;;CAR_08;07.10.2025;5280.0;
debit;CD157;;CAR_08;09.11.2025;-5837.0;
fact;CF174;;CAR_08;05.11.2025;11117.0;
payment;CP316;;CAR_08;09.11.2025;5280.0;
fact;CF175;;CAR_03;09.11.2025;38500.0;
payment;CP317;;CAR_03;09.11.2025;38500.0;
payment;CP318;;CAR_05;09.11.2025;33880.0;
payment;CP319;;CAR_04;05.11.2025;41580.0;
fact;CF178;;CAR_07;07.12.2025;6600.0;
payment;CP325;;CAR_07;09.12.2025;33880.0;
debit;CD160;;CAR_10;07.12.2025;-178640.0;
fact;CF179;;CAR_08;07.12.2025;5280.0;
payment;CP326;;CAR_08;07.12.2025;5280.0;
debit;CD161;;CAR_03;09.12.2025;-5500.0;
fact;CF180;;CAR_03;09.12.2025;5500.0;
fact;CF181;;CAR_08;09.01.2025;4840.0;
payment;CP331;;CAR_08;09.01.2025;4840.0;
payment;CP332;;CAR_09;09.01.2025;30800.0;
debit;CD163;;CAR_08;09.02.2025;4840.0;
payment;CP339;;CAR_08;09.02.2025;4840.0;
fact;CF186;;CAR_06;09.02.2025;145200.0;
payment;CP340;;CAR_06;09.02.2025;145200.0;
fact;CF187;;CAR_02;09.02.2025;23100.0;
payment;CP341;;CAR_02;09.02.2025;23100.0;
debit;CD165;;CAR_07;09.03.2025;4840.0;
payment;CP347;;CAR_07;09.03.2025;4840.0;
fact;CF191;;CAR_08;09.03.2025;5280.0;
payment;CP348;;CAR_08;09.03.2025;5280.0;
fact;CF192;;CAR_06;09.03.2025;145200.0;
payment;CP349;;CAR_06;09.03.2025;145200.0;
fact;CF193;;CAR_02;09.03.2025;23100.0;
payment;CP350;;CAR_02;09.03.2025;23100.0;
debit;CD168;;CAR_07;09.04.2025;-2860.0;
fact;CF194;;CAR_07;09.04.2025;7700.0;
payment;CP354;;CAR_07;09.04.2025;4840.0;
debit;CD169;;CAR_08;09.04.2025;-10120.0;
fact;CF195;;CAR_08;09.04.2025;15400.0;
payment;CP355;;CAR_08;09.04.2025;5280.0;
debit;CD170;;CAR_06;09.04.2025;145200.0;
payment;CP356;;CAR_06;09.04.2025;145200.0;
debit;CD173;;CAR_07;10.05.2025;-4840.0;
fact;CF198;;CAR_07;10.05.2025;9680.0;
payment;CP362;;CAR_07;10.05.2025;4840.0;
debit;CD174;;CAR_08;10.05.2025;5280.0;
payment;CP363;;CAR_08;10.05.2025;5280.0;
debit;CD175;;CAR_06;10.05.2025;145200.0;
payment;CP364;;CAR_06;10.05.2025;145200.0;
fact;CF199;;CAR_09;10.05.2025;33440.0;
debit;CD178;;CAR_07;10.06.2025;4840.0;
payment;CP370;;CAR_07;10.06.2025;4840.0;
debit;CD179;;CAR_08;08.06.2025;-2200.0;
fact;CF202;;CAR_08;08.06.2025;7480.0;
payment;CP371;;CAR_08;09.06.2025;5280.0;
debit;CD180;;CAR_06;10.06.2025;145200.0;
payment;CP372;;CAR_06;10.06.2025;145200.0;
fact;CF205;;CAR_08;08.07.2025;5280.0;
payment;CP377;;CAR_08;07.07.2025;5280.0;
debit;CD185;;CAR_06;07.07.2025;43560.0;
payment;CP378;;CAR_06;08.07.2025;43560.0;
debit;CD188;;CAR_08;10.08.2025;-2420.0;
fact;CF206;;CAR_08;10.08.2025;7700.0;
payment;CP383;;CAR_08;09.08.2025;5280.0;
debit;CD189;;CAR_03;10.08.2025;38500.0;
payment;CP384;;CAR_03;10.08.2025;38500.0;
payment;CP385;;CAR_04;10.08.2025;41580.0;
payment;CP392;;CAR_01;09.09.2025;21560.0;
debit;CD192;;CAR_10;09.09.2025;41580.0;
payment;CP393;;CAR_10;09.09.2025;41580.0;
debit;CD193;;CAR_08;09.09.2025;5280.0;
payment;CP394;;CAR_08;09.09.2025;5280.0;
debit;CD194;;CAR_06;09.09.2025;145200.0;
payment;CP395;;CAR_06;09.09.2025;145200.0;
fact;CF212;;CAR_08;07.10.2025;5280.0;
payment;CP401;;CAR_08;07.10.2025;5280.0;
debit;CD198;;CAR_06;07.10.2025;145200.0;
payment;CP402;;CAR_06;07.10.2025;145200.0;
payment;CP403;;CAR_09;07.10.2025;33880.0;
debit;CD200;;CAR_08;10.11.2025;5280.0;
payment;CP409;;CAR_08;09.11.2025;5280.0;
fact;CF215;;CAR_05;09.11.2025;33880.0;
fact;CF217;;CAR_08;09.12.2025;5280.0;
payment;CP414;;CAR_08;09.12.2025;5280.0;
debit;CD203;;CAR_03;09.12.2025;-11000.0;
fact;CF218;;CAR_03;09.12.2025;11000.0;
fact;CF220;;CAR_07;11.01.2025;33880.0;
payment;CP420;;CAR_07;11.01.2025;33880.0;
fact;CF221;;CAR_08;11.01.2025;4840.0;
payment;CP421;;CAR_08;11.01.2025;4840.0;
debit;CD205;;CAR_06;11.01.2025;30800.0;
payment;CP422;;CAR_06;11.01.2025;30800.0;
debit;CD206;;CAR_03;11.01.2025;40040.0;
payment;CP423;;CAR_03;11.01.2025;40040.0;
fact;CF225;;CAR_08;09.02.2025;4840.0;
payment;CP429;;CAR_08;09.02.2025;4840.0;
debit;CD211;;CAR_07;09.03.2025;-4290.0;
fact;CF229;;CAR_07;09.03.2025;9130.0;
payment;CP434;;CAR_07;09.03.2025;4840.0;
debit;CD212;;CAR_08;09.03.2025;-2420.0;
fact;CF230;;CAR_08;09.03.2025;7700.0;
payment;CP435;;CAR_08;09.03.2025;5280.0;
debit;CD215;;CAR_07;11.04.2025;-1980.0;
fact;CF232;;CAR_07;11.04.2025;6820.0;
payment;CP439;;CAR_07;11.04.2025;4840.0;
debit;CD216;;CAR_08;09.04.2025;-2420.0;
fact;CF233;;CAR_08;11.04.2025;7700.0;
payment;CP440;;CAR_08;11.04.2025;5280.0;
fact;CF234;;CAR_09;09.04.2025;33440.0;
payment;CP441;;CAR_09;11.04.2025;33440.0;
debit;CD219;;CAR_07;10.05.2025;4840.0;
payment;CP447;;CAR_07;10.05.2025;4840.0;
debit;CD220;;CAR_08;10.05.2025;5280.0;
payment;CP448;;CAR_08;10.05.2025;5280.0;
fact;CF238;;CAR_04;10.05.2025;41580.0;
payment;CP449;;CAR_04;10.05.2025;41580.0;
debit;CD224;;CAR_07;11.06.2025;4840.0;
payment;CP455;;CAR_07;11.06.2025;4840.0;
debit;CD225;;CAR_01;11.06.2025;21560.0;
payment;CP456;;CAR_01;11.06.2025;21560.0;
debit;CD226;;CAR_08;11.06.2025;-2200.0;
fact;CF241;;CAR_08;11.06.2025;7480.0;
payment;CP457;;CAR_08;11.06.2025;5280.0;
fact;CF243;;CAR_07;11.07.2025;30800.0;
payment;CP463;;CAR_07;11.07.2025;30800.0;
fact;CF244;;CAR_08;11.07.2025;5280.0;
payment;CP464;;CAR_08;11.07.2025;5280.0;
payment;CP465;;CAR_09;11.07.2025;33880.0;
debit;CD232;;CAR_08;10.08.2025;-220.0;
fact;CF245;;CAR_08;10.08.2025;5500.0;
payment;CP470;;CAR_08;10.08.2025;5280.0;
fact;CF246;;CAR_04;10.08.2025;41580.0;
debit;CD235;;CAR_10;09.09.2025;-8800.0;
fact;CF247;;CAR_10;09.09.2025;8800.0;
debit;CD236;;CAR_08;10.09.2025;-2420.0;
fact;CF248;;CAR_08;10.09.2025;7700.0;
payment;CP474;;CAR_08;10.09.2025;5280.0;
debit;CD240;;CAR_10;07.10.2025;-25300.0;
fact;CF250;;CAR_10;07.10.2025;25300.0;
debit;CD241;;CAR_08;08.10.2025;5280.0;
payment;CP481;;CAR_08;08.10.2025;5280.0;
fact;CF256;;CAR_07;10.11.2025;33880.0;
payment;CP488;;CAR_07;10.11.2025;33880.0;
fact;CF257;;CAR_08;10.11.2025;5280.0;
payment;CP489;;CAR_08;10.11.2025;5280.0;
fact;CF258;;CAR_04;10.11.2025;41580.0;
debit;CD249;;CAR_08;09.12.2025;5280.0;
payment;CP493;;CAR_08;09.12.2025;5280.0;
debit;CD251;;CAR_08;11.01.2025;-4840.0;
fact;CF262;;CAR_08;11.01.2025;9680.0;
payment;CP499;;CAR_08;11.01.2025;4840.0;
debit;CD252;;CAR_06;11.01.2025;-30800.0;
fact;CF263;;CAR_06;11.01.2025;30800.0;
debit;CD253;;CAR_03;11.01.2025;-28820.0;
fact;CF264;;CAR_03;11.01.2025;28820.0;
payment;CP505;;CAR_01;12.02.2025;21560.0;
fact;CF268;;CAR_08;09.02.2025;4840.0;
payment;CP506;;CAR_08;12.02.2025;4840.0;
fact;CF269;;CAR_09;12.02.2025;30800.0;
debit;CD257;;CAR_07;09.03.2025;-5390.0;
fact;CF271;;CAR_07;09.03.2025;10230.0;
payment;CP513;;CAR_07;12.03.2025;4840.0;
debit;CD258;;CAR_01;10.03.2025;21560.0;
payment;CP514;;CAR_01;12.03.2025;21560.0;
debit;CD259;;CAR_08;12.03.2025;5280.0;
payment;CP515;;CAR_08;09.03.2025;5280.0;
payment;CP516;;CAR_05;12.03.2025;36960.0;
fact;CF272;;CAR_09;12.03.2025;33440.0;
debit;CD262;;CAR_07;11.04.2025;4840.0;
payment;CP522;;CAR_07;11.04.2025;4840.0;
debit;CD263;;CAR_08;11.04.2025;5280.0;
payment;CP523;;CAR_08;11.04.2025;5280.0;
debit;CD264;;CAR_06;11.04.2025;-19360.0;
fact;CF276;;CAR_06;11.04.2025;19360.0;
debit;CD268;;CAR_07;10.05.2025;4840.0;
payment;CP528;;CAR_07;12.05.2025;4840.0;
debit;CD269;;CAR_08;12.05.2025;-10780.0;
fact;CF281;;CAR_08;12.05.2025;16060.0;
payment;CP529;;CAR_08;12.05.2025;5280.0;
debit;CD273;;CAR_07;11.06.2025;4840.0;
payment;CP533;;CAR_07;11.06.2025;4840.0;
debit;CD274;;CAR_08;11.06.2025;880.0;
fact;CF285;;CAR_08;11.06.2025;4400.0;
payment;CP534;;CAR_08;11.06.2025;5280.0;
fact;CF288;;CAR_08;11.07.2025;5280.0;
payment;CP541;;CAR_08;11.07.2025;5280.0;
fact;CF289;;CAR_03;11.07.2025;33000.0;
fact;CF293;;CAR_08;10.08.2025;5280.0;
payment;CP547;;CAR_08;10.08.2025;5280.0;
fact;CF294;;CAR_05;10.08.2025;33880.0;
payment;CP548;;CAR_05;10.08.2025;33880.0;
fact;CF298;;CAR_07;11.09.2025;30800.0;
payment;CP552;;CAR_07;10.09.2025;30800.0;
fact;CF299;;CAR_01;11.09.2025;21560.0;
debit;CD279;;CAR_10;11.09.2025;-9900.0;
fact;CF300;;CAR_10;11.09.2025;9900.0;
fact;CF301;;CAR_08;11.09.2025;5280.0;
payment;CP553;;CAR_08;11.09.2025;5280.0;
payment;CP554;;CAR_09;11.09.2025;33880.0;
fact;CF304;;CAR_08;12.10.2025;5280.0;
payment;CP560;;CAR_08;12.10.2025;5280.0;
fact;CF305;;CAR_03;12.10.2025;38500.0;
payment;CP561;;CAR_03;12.10.2025;38500.0;
payment;CP562;;CAR_05;12.10.2025;33880.0;
payment;CP563;;CAR_04;12.10.2025;41580.0;
debit;CD287;;CAR_01;10.11.2025;21560.0;
payment;CP570;;CAR_01;10.11.2025;21560.0;
debit;CD288;;CAR_10;10.11.2025;41580.0;
payment;CP571;;CAR_10;10.11.2025;41580.0;
fact;CF309;;CAR_08;10.11.2025;5280.0;
payment;CP572;;CAR_08;10.11.2025;5280.0;
fact;CF314;;CAR_07;12.12.2025;33000.0;
fact;CF315;;CAR_08;12.12.2025;5280.0;
payment;CP578;;CAR_08;12.12.2025;5280.0;
debit;CD290;;CAR_03;12.12.2025;-5500.0;
fact;CF316;;CAR_03;12.12.2025;5500.0;
payment;CP579;;CAR_09;09.12.2025;33880.0;
debit;CD292;;CAR_08;13.01.2025;-4840.0;
fact;CF319;;CAR_08;13.01.2025;9680.0;
payment;CP586;;CAR_08;13.01.2025;4840.0;
fact;CF320;;CAR_02;13.01.2025;23100.0;
payment;CP587;;CAR_02;13.01.2025;23100.0;
debit;CD293;;CAR_03;13.01.2025;-11220.0;
fact;CF321;;CAR_03;13.01.2025;11220.0;
fact;CF324;;CAR_01;12.02.2025;21560.0;
debit;CD294;;CAR_08;12.02.2025;4840.0;
payment;CP593;;CAR_08;12.02.2025;4840.0;
fact;CF325;;CAR_03;12.02.2025;40040.0;
payment;CP594;;CAR_03;13.02.2025;40040.0;
debit;CD296;;CAR_07;12.03.2025;220.0;
fact;CF327;;CAR_07;12.03.2025;4620.0;
payment;CP600;;CAR_07;12.03.2025;4840.0;
debit;CD297;;CAR_08;12.03.2025;-2420.0;
fact;CF328;;CAR_08;12.03.2025;7700.0;
payment;CP601;;CAR_08;12.03.2025;5280.0;
fact;CF329;;CAR_05;12.03.2025;36960.0;
debit;CD300;;CAR_07;12.04.2025;-4840.0;
fact;CF332;;CAR_07;12.04.2025;9680.0;
payment;CP607;;CAR_07;12.04.2025;4840.0;
debit;CD301;;CAR_08;12.04.2025;5280.0;
payment;CP608;;CAR_08;12.04.2025;5280.0;
fact;CF333;;CAR_04;12.04.2025;41580.0;
payment;CP609;;CAR_04;12.04.2025;41580.0;
debit;CD306;;CAR_07;12.05.2025;4840.0;
payment;CP615;;CAR_07;12.05.2025;4840.0;
fact;CF336;;CAR_08;12.05.2025;5280.0;
payment;CP616;;CAR_08;12.05.2025;5280.0;
debit;CD310;;CAR_07;11.06.2025;4840.0;
payment;CP620;;CAR_07;11.06.2025;4840.0;
debit;CD311;;CAR_08;11.06.2025;-5280.0;
fact;CF338;;CAR_08;11.06.2025;10560.0;
payment;CP621;;CAR_08;11.06.2025;5280.0;
fact;CF339;;CAR_09;13.06.2025;33440.0;
payment;CP622;;CAR_09;13.06.2025;33440.0;
debit;CD314;;CAR_08;11.07.2025;5280.0;
payment;CP628;;CAR_08;11.07.2025;5280.0;
debit;CD315;;CAR_03;11.07.2025;22000.0;
payment;CP629;;CAR_03;11.07.2025;38500.0;
fact;CF343;;CAR_09;11.07.2025;33880.0;
fact;CF344;;CAR_04;11.07.2025;41580.0;
payment;CP630;;CAR_04;11.07.2025;41580.0;
fact;CF348;;CAR_01;13.08.2025;21560.0;
payment;CP637;;CAR_01;13.08.2025;21560.0;
fact;CF349;;CAR_10;13.08.2025;41580.0;
payment;CP638;;CAR_10;13.08.2025;41580.0;
debit;CD318;;CAR_08;13.08.2025;5280.0;
payment;CP639;;CAR_08;13.08.2025;5280.0;
fact;CF353;;CAR_08;11.09.2025;5280.0;
payment;CP645;;CAR_08;11.09.2025;5280.0;
fact;CF354;;CAR_09;11.09.2025;33880.0;
fact;CF357;;CAR_08;13.10.2025;5280.0;
payment;CP651;;CAR_08;13.10.2025;5280.0;
fact;CF358;;CAR_05;13.10.2025;33880.0;
fact;CF359;;CAR_09;13.10.2025;33880.0;
fact;CF360;;CAR_04;13.10.2025;41580.0;
debit;CD321;;CAR_01;12.11.2025;-11000.0;
fact;CF363;;CAR_01;12.11.2025;11000.0;
debit;CD322;;CAR_08;12.11.2025;5280.0;
payment;CP656;;CAR_08;12.11.2025;5280.0;
debit;CD324;;CAR_08;13.12.2025;-5280.0;
